original_term,replacement
papuaindonesia,papua indonesia
programpresiden,program presiden
dukungprogrammbg,dukung program makan bergizi gratis
indonesiaemas20,indonesia emas 2045
makanbergizibangunnegeri,makan bergizi bangun negeri
mbguntukbangsa,makan bergizi gratis untuk bangsa
dapurmbg,dapur makan bergizi gratis
siapmelayaniindonesia,siap melayani indonesia
masadepancerah,masa depan cerah
sehatbersama,sehat bersama
visipresidenprabowo,visi presiden prabowo
sahabatbpom,sahabat badan pengawas obat dan makanan
mbguntukrakyat,makan bergizi gratis untuk rakyat
langkahnyatauntukindonesia,langkah nyata untuk indonesia
giziseimbang,gizi seimbang
yukgasss,yuk gas dukung
swasembadapangan,swasembada pangan
ahligizi,ahli gizi
anakindonesia,anak indonesia
kawalmbg,kawal makan bergizi gratis
prajaraksakapedulirakyat,praja raksaka peduli rakyat
idsurveydukungmbg,id survey dukung makan bergizi gratis
generasiunggul,generasi unggul
giziuntuknegeri,gizi untuk negeri
papuasejahtera,papua sejahtera
sukseskanmbg,sukseskan makan bergizi gratis
lapangankerja,lapangan kerja
makansianggratis,makan bergizi gratis
dprri,dpr republik indonesia
menujuindonesiamaju,menuju indonesia maju
gizinasional,gizi nasional
giziuntukgenerasi,gizi untuk generasi
tniadmengabdidanmembangunbersamarakyat,tni ad mengabdi dan membangun bersama rakyat
anaksehatbangsahebat,anak sehat bangsa hebat
mbgindonesia,makan bergizi gratis indonesia
sdmunggul,sumber daya manusia unggul
bptaskindukungprabowonomics,badan pengentasan kemiskinan dukung prabowonomics
#bahlillahadalia,bahlil lahadalia
sinergiindonesiajepang,sinergi indonesia jepang
gizigratisuntuknegeri,gizi gratis untuk negeri
idsurveysiapdukungmbg,id survey siap dukung makan bergizi gratis
indonesiahebat,indonesia hebat
papuamaju,papua maju
makananbergizi,makanan bergizi
mbguntukmasadepan,makan bergizi gratis untuk masa depan
sukseskanastacita,sukseskan asta cita
polripeduli,polri peduli
setahuncapaiannyata,setahun capaian nyata
makananbergizigratis,makanan bergizi gratis
polisiindonesia,polisi indonesia
sinergidukungastacita,sinergi dukung asta cita
anaksehatanakcerdas,anak sehat anak cerdas
nutrisicerdasuntukanakbangsa,nutrisi cerdas untuk anak bangsa
gizimerata,gizi merata
makanbegizigratis,makan bergizi gratis
makanbergiziuntukindonesi,makan bergizi untuk indonesia
saktiwahyutrenggono,sakti wahyu trenggono
investasibangsa,investasi bangsa
kemendagri,kementerian dalam negeri
pemenuhangizimbg,pemenuhan gizi makan bergizi gratis
ekonomimaju,ekonomi maju
ekonomirakyat,ekonomi rakyat
gizianakbangsa,gizi anak bangsa
kamipolisibaik,kami polisi baik
indonesiahebatindonesiakuat,indonesia hebat indonesia kuat
makansehat,makan sehat
billgatesformbg,bill gates dukung makan bergizi gratis
mbgberkualitas,makan bergizi gratis berkualitas
kesehatananak,kesehatan anak
anaksehatcerdas,anak sehat cerdas
dapurmbghk,dapur makan bergizi gratis
masadepanindonesia,masa depan indonesia
indonesia2045,indonesia 2045
bptaskindankoperasimerahputih,badan pengentasan kemiskinan dan koperasi merah putih
kinerjapemerintahri,kinerja pemerintah republik indonesia
mbgtetapberjalan,makan bergizi gratis tetap berjalan
papuabangga,papua bangga
sppgpolri,satuan pelayanan pemenuhan gizi polri
anaksehatindonesiakuat,anak sehat indonesia kuat
gotongroyonguntukbangsa,gotong royong untuk bangsa
1tahunpresidenprabowo,satu tahun presiden prabowo
sppg,satuan pelayanan pemenuhan gizi
ya,iya
tuh,itu
tengkes,stunting
stunting,stunting
polri,kepolisian republik indonesia
ri,republik indonesia
sd,sekolah dasar
dpr,dewan perwakilan rakyat
tni,tentara nasional indonesia
babinsa,bintara pembina desa
sdm,sumber daya manusia
polres,kepolisian resor
sdn,sekolah dasar negeri
apbn,anggaran pendapatan dan belanja negara
balita,bawah lima tahun
koramil,komando rayon militer
gara,gara gara
an,dan
polsek,kepolisian sektor
kodim,komando distrik militer
ktt,konferensi tingkat tinggi
food,makanan
dll,dan lain lain
bhabinkamtibmas,bhayangkara pembina keamanan dan ketertiban masyarakat
lo,kamu
polda,kepolisian daerah
the,itu
mikir,berpikir
danantara,daya anagata nusantara
iq,kecerdasan
kab,kabupaten
ikn,ibu kota nusantara
kec,kecamatan
sumatra,sumatera
omon,omong kosong
no,tidak
smpn,sekolah menengah pertama negeri
of,dari
day,hari
dprd,dewan perwakilan rakyat daerah
launching,peluncuran
is,adalah
bro,saudara
pondasi,fondasi
paud,pendidikan anak usia dini
at,di
lho,loh
kpk,komisi pemberantasan korupsi
btw,ngomong ngomong
noh,itu
ix,sembilan
up,naik
bpom,badan pengawas obat dan makanan
taskin,pengentasan kemiskinan
snack,kudapan
satgas,satuan tugas
sman,sekolah menengah atas negeri
chef,koki
on,aktif
full,penuh
kapolri,kepala kepolisian republik indonesia
pagiii,pagi
menko,menteri koordinator
jateng,jawa tengah
sumut,sumatera utara
kapolres,kepala kepolisian resor
nder,sender
kg,kilogram
aiptu,ajun inspektur polisi satu
ai,kecerdasan buatan
komen,komentar
bumn,badan usaha milik negara
smk,sekolah menengah kejuruan
whoosh,kereta cepat whoosh
bnpb,badan nasional penanggulangan bencana
ntt,nusa tenggara timur
diy,daerah istimewa yogyakarta
posyandu,pos pelayanan terpadu
bpjs,badan penyelenggara jaminan sosial
segitu,sebanyak itu
kopdes,koperasi desa
emak,ibu
rame,ramai
for,untuk
wkwkw,tertawa
tray,nampan makan
bri,bank rakyat indonesia
serka,sersan kepala
sulsel,sulawesi selatan
sembako,sembilan bahan pokok
this,ini
terimakasih,terima kasih
nataru,natal dan tahun baru
serda,sersan dua
trade,perdagangan
kapolsek,kepala kepolisian sektor
slhs,sertifikat laik higiene sanitasi
dpd,dewan perwakilan daerah
mie,mi
bpk,badan pemeriksa keuangan
bps,badan pusat statistik
ok,oke
maksa,memaksa
gerindra,partai gerindra
waste,sampah makanan
slb,sekolah luar biasa
power,kekuatan
kerjasama,kerja sama
uu,undang undang
wkwkwkwk,tertawa
wib,waktu indonesia barat
kemenkes,kementerian kesehatan
sidak,inspeksi mendadak
mbgnya,makan bergizi gratis nya
dd,dana desa
ugm,universitas gadjah mada
higienitas,kebersihan
dm,pesan langsung
pantesan,pantas saja
by,oleh
nkri,negara kesatuan republik indonesia
cost,biaya
gapapa,tidak apa apa
plis,mohon
kalteng,kalimantan tengah
dandim,komandan distrik militer
pbnu,pengurus besar nahdlatul ulama
aipda,ajun inspektur polisi dua
sppi,serikat pekerja
pbb,perserikatan bangsa bangsa
medsos,media sosial
supplier,pemasok
phk,pemutusan hubungan kerja
pasca,sesudah
test,tes
fresh,segar
like,suka
busui,ibu menyusui
jl,jalan
wow,wah
link,tautan
wa,whatsapp
nu,nahdlatul ulama
with,dengan
elit,elite
all,semua
pssi,persatuan sepak bola seluruh indonesia
safety,keamanan
postingan,unggahan
hehe,tertawa
kalurahan,kelurahan
tv,televisi
konkrit,konkret
purn,purnawirawan
akbp,ajun komisaris besar polisi
bmkg,badan meteorologi klimatologi dan geofisika
korea,korea selatan
supply,pasokan
polresta,kepolisian resor kota
win,menang
lanud,pangkalan udara
respon,respons
uht,susu uht
asn,aparatur sipil negara
error,bermasalah
konoha,indonesia
bbm,bahan bakar minyak
ultah,ulang tahun
defect,cacat mutu
temenku,temanku
that,itu
be,menjadi
gp,gerakan pemuda
duluan,lebih dulu
pln,perusahaan listrik negara
warteg,warung tegal
multiplier,efek berganda
posting,unggah
online,daring
kadin,kamar dagang dan industri
yaudah,ya sudah
projo,pro jokowi
apbd,anggaran pendapatan dan belanja daerah
staff,staf
ansor,gerakan pemuda ansor
bpkp,badan pengawasan keuangan dan pembangunan
kapolda,kepala kepolisian daerah
muter,berputar
termul,ternak mulyono
hotline,saluran siaga
out,keluar
live,siaran langsung
wkwkwkw,tertawa
dki,daerah khusus ibukota jakarta
cc,tembusan
center,pusat
we,kita
project,proyek
statement,pernyataan
pangkep,pangkajene dan kepulauan
keppres,keputusan presiden
news,berita
orangtua,orang tua
pt,perseroan terbatas
rangers,penjaga
kemenkeu,kementerian keuangan
ijo,hijau
kepri,kepulauan riau
what,apa
covid,covid sembilan belas
gweh,saya
review,ulasan
icw,indonesia corruption watch
malming,malam minggu
post,unggah
mgb,makan bergizi gratis
dsb,dan sebagainya
jum,jumat
series,seri
ppn,pajak pertambahan nilai
groundbreaking,peletakan batu pertama
inpres,instruksi presiden
danramil,komandan rayon militer
nyentuh,menyentuh
smapat,sekolah menengah atas empat
woi,hei
ye,iya
jogja,yogyakarta
watch,tonton
but,tapi
estate,kawasan
anjg,anjing
new,baru
ra,tidak
ponpes,pondok pesantren
jatim,jawa timur
join,gabung
nemu,menemukan
serma,sersan mayor
dokkes,kedokteran dan kesehatan
inhu,indragiri hulu
one,satu
pastiin,memastikan
pj,penjabat
darimana,dari mana
meeting,rapat
dapetnya,dapatnya
au,angkatan udara
rapbn,rancangan anggaran pendapatan dan belanja negara
singapore,singapura
inf,infanteri
laper,lapar
wowok,prabowo
pm,perdana menteri
wae,saja
benerin,benahi
story,cerita
drs,doktorandus
letkol,letnan kolonel
tweet,cuitan
ig,instagram
next,selanjutnya
timnas,tim nasional
mpr,majelis permusyawaratan rakyat
akp,ajun komisaris polisi
iv,empat
school,sekolah
umr,upah minimum regional
dibagiin,dibagikan
dongo,bodoh
sorry,maaf
kalsel,kalimantan selatan
posko,pos komando
ckg,cengkareng
free,gratis
bumdes,badan usaha milik desa
survey,survei
zoom,rapat daring
wita,waktu indonesia tengah
kemenag,kementerian agama
realita,realitas
mak,ibu
boro,jangankan
blt,bantuan langsung tunai
ntb,nusa tenggara barat
asik,asyik
ti,teknologi informasi
sosmed,media sosial
rw,rukun warga
mendagri,menteri dalam negeri
reply,balasan
fix,pasti
pr,pekerjaan rumah
rapid,cepat
kanwil,kantor wilayah
itung,hitung
picky,pemilih
hp,telepon seluler
kapanewon,kecamatan
gaspol,gas pol
dinkes,dinas kesehatan
prabs,prabowo
ruu,rancangan undang-undang
parcok,partai cokelat
team,tim
juknis,petunjuk teknis
fyi,sekadar informasi
forkopimda,forum koordinasi pimpinan daerah
mui,majelis ulama indonesia
pokja,kelompok kerja
klb,kejadian luar biasa
ningkatin,meningkatkan
brimob,brigade mobil
role,peran
time,waktu
bulog,badan urusan logistik
gaes,kawan
woy,hei
yes,iya
way,jalan
personil,personel
dasco,sufmi dasco ahmad
id,indonesia
yonif,batalyon infanteri
demand,permintaan
voters,pemilih
wes,sudah
gr,gede rasa
lol,tertawa
kanak,kanak kanak
ihsg,indeks harga saham gabungan
brazil,brasil
tkd,tim kampanye daerah
nek,kalau
admin,administrator
pp,peraturan pemerintah
smkn,sekolah menengah kejuruan negeri
foundation,yayasan
seskab,sekretaris kabinet
even,bahkan
kalbar,kalimantan barat
voter,pemilih
wni,warga negara indonesia
dialihin,dialihkan
halah,alah
tka,tenaga kerja asing
kepsek,kepala sekolah
big,besar
opm,organisasi papua merdeka
eater,pemakan
sumsel,sumatera selatan
kpai,komisi perlindungan anak indonesia
stafsus,staf khusus
kanit,kepala unit
emaknya,ibunya
dzolim,zalim
dear,teruntuk
nasbi,hasan nasbi
he,dia
mateng,matang
kaltim,kalimantan timur
mikirnya,pikirnya
effect,efek
pks,partai keadilan sejahtera
pom,polisi militer
ngapa,kenapa
prov,provinsi
yaallah,ya allah
oon,bodoh
cctv,kamera pengawas
rejeki,rezeki
pelda,pembantu letnan dua
mtsn,madrasah tsanawiyah negeri
skill,keahlian
lunch,makan siang
king,raja
framing,pembingkaian
jelasin,jelaskan
imin,muhaimin iskandar
ngotak,pakai otak
first,pertama
upload,unggah
cemilan,camilan
asem,asam
ep,episode
goodbye,selamat tinggal
off,nonaktif
ditawarin,ditawari
kmp,kampung
sodara,saudara
pns,pegawai negeri sipil
call,panggil
psn,proyek strategis nasional
dibenerin,dibenahi
bubarin,bubarkan
motong,memotong
cv,perseroan komanditer
corbuzier,deddy corbuzier
cash,tunai
woosh,kereta cepat whoosh
game,permainan
spp,sumbangan pembinaan pendidikan
hehehe,tertawa
hey,hei
mabok,mabuk
reform,reformasi
sob,sobat
opung,luhut binsar pandjaitan
bappenas,badan perencanaan pembangunan nasional
siapin,siapkan
bodo,bodoh
tag,tandai
meanwhile,sementara itu
double,ganda
kemenkum,kementerian hukum
year,tahun
basarnas,badan nasional pencarian dan pertolongan
bawain,bawakan
bripka,brigadir polisi kepala
trilyunan,triliunan
lapas,lembaga pemasyarakatan
bkkbn,badan kependudukan dan keluarga berencana nasional
can,bisa
lpg,elpiji
sulteng,sulawesi tengah
delivery,pengantaran
supir,sopir
mubadzir,mubazir
wihaji,menteri kependudukan wihaji
pdip,partai demokrasi indonesia perjuangan
list,daftar
karbo,karbohidrat
pkh,program keluarga harapan
hahahaha,tertawa
plate,piring
aing,saya
unt,untuk
des,desember
curhat,curahan hati
when,ketika
palangka,palangka raya
irjen,inspektur jenderal
astaghfirullah,astagfirullah
shg,sehingga
rsud,rumah sakit umum daerah
just,hanya
wabup,wakil bupati
kemensos,kementerian sosial
geprek,ayam geprek
wamenkes,wakil menteri kesehatan
sinergitas,sinergisitas
smart,pintar
sekda,sekretaris daerah
celios,center of economic and law studies
ngitung,menghitung
why,kenapa
ready,siap
merk,merek
template,templat
least,setidaknya
piye,bagaimana
milk,susu
meal,makanan
kitchen,dapur
disalahin,disalahkan
mensos,menteri sosial
only,hanya
narkoba,narkotika
proker,program kerja
ngisi,mengisi
mentingin,mementingkan
kcic,kereta cepat indonesia china
bem,badan eksekutif mahasiswa
accident,kecelakaan
kepake,terpakai
mendikdasmen,menteri pendidikan dasar dan menengah
instead,malah
pulogebang,pulo gebang
bayarin,bayarkan
yth,yang terhormat
ijin,izin
baznas,badan amil zakat nasional
mou,nota kesepahaman
now,sekarang
hadeh,aduh
mensesneg,menteri sekretaris negara
group,grup
have,punya
cuy,kawan
iso,bisa
cream,krim
life,hidup
bajer,pendengung
udaaaah,sudah
nganter,mengantar
stainless,baja tahan karat
from,dari
who,siapa
kompol,komisaris polisi
seuprit,sedikit
binmas,pembinaan masyarakat
standard,standar
sik,sebentar
bpjph,badan penyelenggara jaminan produk halal
ipb,institut pertanian bogor
impact,dampak
inteliz,intelijen
kppn,kantor pelayanan perbendaharaan negara
head,kepala
korem,komando resor militer
worth,layak
security,keamanan
rakor,rapat koordinasi
mts,madrasah tsanawiyah
people,orang
random,acak
upgrade,pembaruan
if,jika
mr,tuan
thank,terima kasih
back,kembali
morning,pagi
parpol,partai politik
wkwkwkwkwk,tertawa
walikota,wali kota
apasih,apa sih
bantuin,bantu
chicken,ayam
golkar,partai golkar
nabung,menabung
kgk,tidak
samsek,sama sekali
kabeh,semua
balikin,kembalikan
conveyor,ban berjalan
heh,hei
uas,ujian akhir semester
kombes,komisaris besar polisi
institute,institut
more,lebih
gaboleh,tidak boleh
dibandingin,dibandingkan
pkb,partai kebangkitan bangsa
fb,facebook
thd,terhadap
gawe,kerja
pdb,produk domestik bruto
abal,abal abal
hi,hai
nutup,menutup
alihin,alihkan
thanks,terima kasih
breaking,berita terkini
kemenko,kementerian koordinator
let,biarkan
ngide,mengada ada
barokah,berkah
sda,sumber daya alam
ln,luar negeri
dih,ih
your,milikmu
stock,stok
nyam,enak
nyicip,mencicipi
website,situs web
handle,tangani
budgetnya,anggarannya
berhentiin,hentikan
teu,tidak
city,kota
dirasain,dirasakan
fair,adil
dkk,dan kawan kawan
invest,investasi
blio,beliau
keep,jaga
they,mereka
mangkrak,terbengkalai
goblog,bodoh
padukuhan,dusun
qris,pembayaran digital
fun,menyenangkan
shade,sindiran
sppgnya,satuan pelayanan pemenuhan gizi nya
atuh,dong
ngurangin,mengurangi
realitanya,realitasnya
event,acara
fee,biaya
check,cek
kip,kartu indonesia pintar
asia,asia
get,dapat
wkwkkw,tertawa
conference,konferensi
gasuka,tidak suka
iptu,inspektur polisi satu
lbp,luhut binsar pandjaitan
habisin,habiskan
ngasal,asal asalan
iphone,ponsel
masakin,masakkan
nambahin,menambahkan
pov,sudut pandang
prab,prabowo
kapolresta,kepala kepolisian resor kota
pppk,pegawai pemerintah dengan perjanjian kerja
ds,desa
anjeng,anjing
komdigi,kementerian komunikasi dan digital
nugget,nugget
jaksel,jakarta selatan
nyumbang,menyumbang
unfaedah,tidak berguna
muzani,ahmad muzani
wakapolres,wakil kepala kepolisian resor
mukbang,makan besar
ketenagakerjaan,ketenagakerjaan
vote,memilih
masy,masyarakat
orba,orde baru
quality,kualitas
international,internasional
jppi,jaringan pemantau pendidikan indonesia
expo,pameran
action,aksi
plain,biasa
batalin,batalkan
issue,isu
huhu,sedih
knapa,kenapa
nanggung,tanggung
disamain,disamakan
transum,ransum
kdm,kang dedi mulyadi
world,dunia
nomer,nomor
trust,kepercayaan
panit,panitia
alutsista,alat utama sistem senjata
menpora,menteri pemuda dan olahraga
menkop,menteri koperasi
sambel,sambal
promo,promosi
indef,institute for development of economics and finance
sbnrnya,sebenarnya
pulo,pulau
ojol,ojek daring
kelen,kalian
himbara,himpunan bank negara
hmmm,berpikir
projek,proyek
nurunin,menurunkan
pcs,satuan
uud,undang undang dasar
christmas,natal
zombie,mayat hidup
ahok,basuki tjahaja purnama
indomie,mi instan
hashim,hashim djojohadikusumo
will,akan
money,uang
gaenak,tidak enak
sos,tolong
standart,standar
ksp,kantor staf presiden
nyediain,menyediakan
baby,bayi
insyaallah,insya allah
hell,neraka
muji,memuji
about,tentang
waka,wakil kepala
el,kamu
nyebut,menyebut
pilkada,pemilihan kepala daerah
kamtibmas,keamanan dan ketertiban masyarakat
haccp,analisis bahaya dan pengendalian titik kritis
sistemik,sistemis
idul,idulfitri
timeline,lini masa
development,pembangunan
ngeles,berkelit
suplier,pemasok
solution,solusi
bb,berat badan
dilanjutin,dilanjutkan
udahan,sudahan
doain,doakan
its,itu
gass,gas
ane,saya
coy,kawan
lek,paman
semalem,semalam
sandwich,roti lapis
baseline,garis dasar
sphp,stabilisasi pasokan dan harga pangan
imt,indeks massa tubuh
nabrak,menabrak
care,peduli
sdit,sekolah dasar islam terpadu
klean,kalian
polkam,politik dan keamanan
menuhin,memenuhi
tumbler,botol minum
gaza,gaza palestina
basic,dasar
tupoksi,tugas pokok dan fungsi
pangdam,panglima daerah militer
prasetiyani,netty prasetiyani
gajadi,tidak jadi
outputnya,luarannya
pdt,pendeta
gaperlu,tidak perlu
resto,restoran
mjd,menjadi
pmt,pemberian makanan tambahan
market,pasar
how,bagaimana
sales,penjualan
koptu,kopral satu
driver,pengemudi
weekend,akhir pekan
yakali,masa
kemhan,kementerian pertahanan
pascabencana,pascabencana
owner,pemilik
much,banyak
dibawain,dibawakan
president,presiden
gais,kawan
coretax,sistem pajak inti
high,tinggi
mindset,pola pikir
study,studi
cpns,calon pegawai negeri sipil
podcast,siniar
persagi,persatuan ahli gizi indonesia
yaelah,alah
low,rendah
well,baik
aka,alias
our,kami
mostly,kebanyakan
billboard,papan reklame
drone,pesawat nirawak
always,selalu
charity,amal
mantau,memantau
apimsa,asosiasi industri pengolahan daging indonesia
micin,penyedap rasa
iming,iming iming
ditjen,direktorat jenderal
safe,aman
ngumpulin,mengumpulkan
tanggungjawab,tanggung jawab
bloon,bodoh
komplen,komplain
dst,dan seterusnya
nyerap,menyerap
pikirin,pikirkan
soon,segera
ieu,ini
kukar,kutai kartanegara
voucher,voucer
wkwkwkwkw,tertawa
efesiensi,efisiensi
transport,transportasi
bae,saja
kemantren,kecamatan
never,tidak pernah
import,impor
wanti,wanti wanti
wagub,wakil gubernur
after,setelah
dsn,dusun
monev,monitoring dan evaluasi
nggo,untuk
track,lacak
okt,oktober
too,terlalu
microprotein,mikroprotein
tekpang,teknologi pangan
etc,dan lain lain
hbd,selamat ulang tahun
yapping,omong kosong
core,inti
mkan,makan
masadepan,masa depan
streaming,siaran langsung
trending,tren
max,maksimal
mendukbangga,menteri kependudukan dan pembangunan keluarga
gengs,kawan
csr,tanggung jawab sosial perusahaan
biayain,biayai
end,akhir
kodam,komando daerah militer
ngene,begini
mkanan,makanan
economy,ekonomi
government,pemerintah
ngeyel,bebal
nyebar,menyebar
another,yang lain
policy,kebijakan
ntu,itu
stay,tinggal
pogram,program
work,kerja
wis,sudah
circle,lingkaran pertemanan
jls,jelas
kanggo,untuk
propam,profesi dan pengamanan
baduy,suku baduy
pliss,mohon
zul,zulkifli hasan
komplit,komplet
dilakuin,dilakukan
adeknya,adiknya
mood,suasana hati
dream,mimpi
golden,emas
un,ujian nasional
komplek,kompleks
wapresnya,wakil presiden nya
disiapin,disiapkan
mendes,menteri desa
cs,dan kawan kawan
jaktim,jakarta timur
kumpulin,kumpulkan
vicon,konferensi video
dinaikin,dinaikkan
control,kendali
menhan,menteri pertahanan
sw,status whatsapp
nanem,menanam
class,kelas
aa,kakak
ibuk,ibu
gadapet,tidak dapat
aya,ada
fillet,daging tanpa tulang
bimtek,bimbingan teknis
pie,bagaimana
timses,tim sukses
club,klub
xiii,tiga belas
dibutuhin,dibutuhkan
kids,anak anak
highlight,sorotan
ahy,agus harimurti yudhoyono
follow,ikuti
ee,eh
chain,rantai
pgri,persatuan guru republik indonesia
wamendagri,wakil menteri dalam negeri
kelaperan,kelaparan
quick,cepat
brigjen,brigadir jenderal
indonesian,indonesia
bahlul,bodoh
nasdem,partai nasdem
concern,khawatir
walopun,walaupun
owo,prabowo
die,dia
omg,astaga
saying,bilang
bmg,makan bergizi gratis
there,sana
bravo,hebat
idol,idola
ukt,uang kuliah tunggal
here,sini
need,butuh
public,publik
umroh,umrah
nanam,menanam
loa,surat penerimaan
prog,program
buzz,ramai
acc,disetujui
disdik,dinas pendidikan
service,layanan
dpp,dewan pimpinan pusat
men,laki laki
denial,menyangkal
dikirimin,dikirimkan
airlangga,airlangga hartarto
tiongkok,china
move,pindah
tukin,tunjangan kinerja
deal,sepakat
mudharatnya,mudaratnya
lur,saudara
kemendikdasmen,kementerian pendidikan dasar dan menengah
ojk,otoritas jasa keuangan
kkp,kementerian kelautan dan perikanan
prioritasin,prioritaskan
mowning,pagi
member,anggota
kost,indekos
eneg,muak
which,yang mana
lpdp,lembaga pengelola dana pendidikan
eat,makan
analisa,analisis
dzalim,zalim
kahh,kah
word,kata
dijalanin,dijalankan
eman,sayang
bkm,bantuan khusus murid
tbc,tuberkulosis
sugiono,sugiono
jakut,jakarta utara
processed,olahan
kemenham,kementerian pertahanan
superhero,pahlawan super
wakapolri,wakil kepala kepolisian republik indonesia
damkar,pemadam kebakaran
ranger,penjaga
soale,soalnya
jubir,juru bicara
rkyt,rakyat
system,sistem
kls,kelas
source,sumber
scroll,gulir
bancaan,bancakan
fancy,mewah
cosplay,bermain peran
guweh,saya
shift,sif
diberhentiin,diberhentikan
renov,renovasi
rapot,rapor
tatakelolanya,tata kelolanya
bio,biodata
bhakti,bakti
ibukota,ibu kota
alpha,generasi alfa
dont,jangan
igd,instalasi gawat darurat
down,turun
danrem,komandan resor militer
numpuk,menumpuk
belio,beliau
bye,selamat tinggal
akg,angka kecukupan gizi
ngomel,mengomel
case,kasus
hambalang,hambalang
cipinang,pasar induk beras cipinang
pemrentah,pemerintah
koyo,seperti
yeah,ya
corruption,korupsi
dikumpulin,dikumpulkan
qc,kontrol kualitas
ifsr,indonesia food security review
bjorka,peretas bjorka
ex,mantan
siber,siber
laporin,laporkan
mandenas,yan mandenas
effort,usaha
dit,direktorat
twit,cuitan
resign,mengundurkan diri
wkwkwkkw,tertawa
abisin,habiskan
req,permintaan
pemdistribusian,pendistribusian
liburin,liburkan
kick,keluarkan
ojo,jangan
makananya,makanannya
sarpras,sarana dan prasarana
pra,sebelum
sharing,berbagi
bekerjasama,kerja sama
diperhatiin,diperhatikan
putranto,am putranto
krg,kurang
yandri,yandri susanto
office,kantor
krl,kereta rel listrik
vietnam,vietnam
maem,makan
coach,pelatih
ump,upah minimum provinsi
dianggep,dianggap
nyusun,menyusun
dibatalin,dibatalkan
bjirrr,waduh
bjirr,waduh
omke,oke
mknan,makanan
management,manajemen
komoditi,komoditas
dengernya,mendengarnya
jeung,mbak
bpn,badan gizi nasional
dibalikin,dikembalikan
wafer,biskuit
chat,percakapan
icip,cicip
disuapin,disuapi
hygiene,higiene
nitrit,natrium nitrit
them,mereka
oot,keluar topik
slice,irisan
special,spesial
plisss,mohon
bully,perundungan
prindavan,india
bojo,pasangan
maggot,belatung
yakan,iya kan
sebutin,sebutkan
adeku,adikku
mantab,mantap
pph,pajak penghasilan
pdi,partai demokrasi indonesia
ekspektasi,harapan
research,penelitian
dibayarin,dibayarkan
wamentan,wakil menteri pertanian
rutinitas,rutinitas
iye,iya
kaltara,kalimantan utara
wait,tunggu
udayana,kodam udayana
energen,sereal
mbs,makan bergizi sehat
rate,peringkat
aseng,asing
industrialisasi,industrialisasi
ui,universitas indonesia
akeh,banyak
headline,berita utama
kasubsi,kepala subseksi
wakapolda,wakil kepala kepolisian daerah
clear,jelas
dikorbanin,dikorbankan
sustain,berkelanjutan
sni,standar nasional indonesia
feb,februari
university,universitas
kuwi,itu
caption,keterangan
face,wajah
matkul,mata kuliah
shock,terkejut
sachet,kemasan saset
tf,transfer
imut,lucu
idsurvey,id survey
biddokkes,bidang kedokteran dan kesehatan
diitung,dihitung
wil,wilayah
graduate,lulusan
mess,asrama
huft,menghela napas
alhamdulilah,alhamdulillah
finlandia,finlandia
date,tanggal
family,keluarga
packing,pengemasan
ril,asli
sidokkes,seksi kedokteran dan kesehatan
hire,rekrut
pic,penanggung jawab
palihan,pengalihan
dikerjain,dikerjakan
disuru,disuruh
ppg,pendidikan profesi guru
regal,biskuit regal
txt,teks
flight,penerbangan
reimburse,pembayaran kembali
cawe,campur tangan
rri,radio republik indonesia
pmk,peraturan menteri keuangan
merespon,merespons
take,ambil
ceunah,katanya
gaakan,tidak akan
bkl,bakal
vi,enam
dirjen,direktorat jenderal
pip,program indonesia pintar
pret,omong kosong
plt,pelaksana tugas
dijelasin,dijelaskan
nampaknya,tampaknya
kai,kereta api indonesia
letjen,letnan jenderal
dharma,dharma
benefit,manfaat
peltu,pembantu letnan satu
higenis,higienis
pju,pejabat utama
ss,tangkapan layar
show,tampil
tips,saran
pink,merah muda
ybs,yang bersangkutan
budidaya,budi daya
mules,mulas
olh,oleh
gapaham,tidak paham
blak,blak blakan
aph,aparat penegak hukum
kwalitas,kualitas
nyeletuk,berceletuk
eek,tinja
boy,laki laki
tvr,televisi republik indonesia
inklusi,inklusi
xi,sebelas
running,berjalan
bobo,tidur
kmbg,kawan makan bergizi gratis
rep,balasan
yamal,lamine yamal
sim,surat izin mengemudi
tpk,tim penggerak kedaulatan
bbc,bbc indonesia
nitip,titip
guyss,kawan kawan
dpur,dapur
dancing,menari
menlu,menteri luar negeri
art,asisten rumah tangga
lebay,berlebihan
gabutuh,tidak butuh
dialihfungsikan,dialihfungsikan
interview,wawancara
subdit,subdirektorat
gasum,penugasan umum
mjb,maaf gabung
dihabisin,dihabiskan
udahin,sudahi
hepi,senang
cuannya,untungnya
nanyain,menanyakan
ngerusak,merusak
iraq,irak
nyenggol,menyinggung
makanin,memakan
raport,rapor
spray,semprot
cenah,katanya
ditilep,dikorupsi
anjr,anjing
maneh,kamu
joss,bagus
dibekelin,dibekali
woii,hei
sepakbola,sepak bola
house,rumah
search,cari
dimasakin,dimasakkan
diterusin,diteruskan
blas,sama sekali
forkopimcam,forum koordinasi pimpinan kecamatan
statemen,pernyataan
mall,mal
ngobrolin,mengobrolkan
diks,adik
daily,harian
future,masa depan
channel,saluran
rating,penilaian
ekstrim,ekstrem
prio,prioritas
hiks,sedih
wish,harapan
aplg,apa lagi
speak,bicara
still,masih
ykb,yayasan kemala bhayangkari
ugalan,ugal ugalan
kkb,kelompok kriminal bersenjata
mid,tengah
ground,lapangan
hello,halo
broo,saudara
